normalized_name,parent_cik,parent_name,source_year,decided_by,decided_at,note
mckesson medical surgical,927653,McKesson Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"McKesson Medical Surgical is a division of McKesson Corporation, a public company."
warner brothers,1437107,"Warner Bros. Discovery, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Warner Bros. is a subsidiary of Warner Bros. Discovery, Inc., a public company."
hyatt regency san francisco airport,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hotel managed by Hyatt Hotels Corporation, a public company."
jw marriott washington dc,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"JW Marriott is a brand of Marriott International, which is publicly traded."
marriott laguna cliffs resort,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"A Marriott resort, subsidiary of Marriott International."
rich s,794367,"Federated Department Stores, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Rich's is a department store chain, a subsidiary of Federated Department Stores (now Macy's). Parent CIK from the EDGAR roster (exact)."
shaw industries plant wk,1067983,Berkshire Hathaway Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Shaw Industries is a flooring company, wholly owned by Berkshire Hathaway."
levy premium foodservice limited gwcc,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Levy Premium Foodservice is a subsidiary of Compass Group, a public company traded OTC. Parent CIK from the EDGAR roster (exact)."
american airlines inc charlotte douglas int apt covid19,4515,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"American Airlines, Inc. is a subsidiary of American Airlines Group, a public company"
american airlines inc charlotte receiving bldg covid19,4515,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"American Airlines, Inc. is a subsidiary of American Airlines Group"
american airlines inc clt hgr covid19,4515,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"American Airlines, Inc. is a subsidiary of American Airlines Group"
american airlines inc int res ctr,4515,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Despite automatic refusal, American Airlines Inc. is still a subsidiary of public parent"
american airlines inc sro covid19,4515,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"American Airlines, Inc. is a subsidiary of American Airlines Group"
teledyne cae,1094285,Teledyne Technologies Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Teledyne CAE is a subsidiary of Teledyne Technologies. Parent CIK from the EDGAR roster (exact).
arizona biltmore a waldorf astoria resort,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Arizona Biltmore is a Waldorf Astoria resort, owned by Hilton. Parent CIK from the EDGAR roster (exact)."
ritz carlton dallas,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton is a brand owned by Marriott International. Parent CIK from the EDGAR roster (exact).
sikorsky nas whiting field milton nas pensacola statewide fl 00000,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sikorsky Aircraft is a subsidiary of Lockheed Martin. Parent CIK from the EDGAR roster (exact).
citicorp data services,831001,Citigroup Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Data services subsidiary of Citigroup
chevron products,93410,Chevron Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Chevron Products Company is a subsidiary of Chevron Corporation.
marriott international shared services,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Shared services division of Marriott, which is publicly traded."
chevron u s a statewide statewide fl 00000,93410,Chevron Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Chevron U.S.A. is a subsidiary of Chevron, publicly traded."
sony music mfg support operation,313838,Sony Group Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sony Music is a subsidiary of Sony Group Corporation.
conrad hotel,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Conrad Hotel is a brand of Hilton, which is SEC-registered"
durham school services lewisville,1455632,National Express Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Durham School Services is a subsidiary of National Express Group. Parent CIK from the EDGAR roster (listed-extension).
argosy casino hotel and,921738,"Penn Entertainment, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Argosy Casino Hotel and Spa is owned by Penn Entertainment, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
delta downs racetrack casino and hotel,906553,Boyd Gaming Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Delta Downs Racetrack Casino and Hotel is owned by Boyd Gaming Corporation, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
nestle prepared foods company hot,792990,Nestle S.A.,,deepseek/deepseek-v4-flash,2026-07-27,Nestle Prepared Foods Company is a subsidiary of Nestle S.A. Parent CIK from the EDGAR roster (exact).
dubuque diamond jo casino,93751,Boyd Gaming Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Dubuque Diamond Jo Casino is a property of Boyd Gaming Corporation, a public company."
universal logistics insights,1308208,"Universal Logistics Holdings, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of Universal Logistics Holdings.
matsushita battery industrial,63271,Panasonic Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Matsushita Battery is a subsidiary of Panasonic, which is SEC registered."
nyp holdings inc dow jones company 900 east 132nd st nyc,1564708,News Corp,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of News Corp, which owns Dow Jones and NYP."
general dynamics anteon,40533,General Dynamics Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Anteon Corporation was acquired by General Dynamics, which files with the SEC."
northrop grumman electronic systems,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Northrop Grumman, a public defense contractor Parent CIK from the EDGAR roster (exact)."
procter gamble paper products,80424,Procter & Gamble Company,,deepseek/deepseek-v4-flash,2026-07-27,Paper products division of Procter & Gamble Parent CIK from the EDGAR roster (exact:listed).
old ben coal company mine 21,313807,BP p.l.c.,,deepseek/deepseek-v4-flash,2026-07-27,Old Ben Coal was a subsidiary of BP in 1989.
novartis group,1114448,Novartis AG,,deepseek/deepseek-v4-flash,2026-07-27,"Novartis Group is a subsidiary of Novartis AG, which files with the SEC despite near-spelling match."
ritz carlton tysons corner,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"The Ritz Carlton Tysons Corner is a hotel operated by Marriott International, a public company."
merkafon teleperformance,1406914,Teleperformance SE,,deepseek/deepseek-v4-flash,2026-07-27,"Merkafon Teleperformance is likely a subsidiary of Teleperformance SE, a public company. Parent CIK from the EDGAR roster (exact)."
golf channel,1166691,Comcast Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"The Golf Channel is owned by NBCUniversal, a subsidiary of Comcast Corporation. Parent CIK from the EDGAR roster (exact)."
northrop grumman technical services inc ngts,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Wholly-owned subsidiary of Northrop Grumman Corporation.
crothall healthcare environmental services,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Crothall is a division of Compass Group, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
clayton homes and cmh manufacturing,1067983,Berkshire Hathaway Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Manufactured home builder, owned by Berkshire Hathaway."
fluor enterprises m g jumbo project,1124198,Fluor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Fluor Enterprises is a subsidiary of Fluor Corporation. Parent CIK from the EDGAR roster (exact).
unilever food solutions,217410,Unilever PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Unilever division, Unilever is public. Parent CIK from the EDGAR roster (exact)."
honeywell sensing control,773840,Honeywell International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Honeywell, which is public. Parent CIK from the EDGAR roster (exact)."
owens brockway glass containers,812074,"Owens-Illinois, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Owens-Brockway Glass Containers was a subsidiary of Owens-Illinois, a public company. Parent CIK from the EDGAR roster (exact)."
psa airlines covid19,6201,American Airlines Group Inc.,,deepseek/deepseek-v4-flash,2026-07-27,PSA Airlines is a wholly owned subsidiary of American Airlines Group. Parent CIK from the EDGAR roster (exact).
united space alliance llc houston5,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,Joint venture between Boeing and Lockheed Martin.
vantec hitachi transport system canton madison,47710,"Hitachi, Ltd.",,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Hitachi Group, which files with SEC. Parent CIK from the EDGAR roster (exact)."
tyco healthcare,833444,Tyco International Ltd.,,deepseek/deepseek-v4-flash,2026-07-27,"Tyco Healthcare was a division of Tyco International, which later became part of Johnson Controls. Parent CIK from the EDGAR roster (exact:listed)."
tyco healthcare kendall,833444,Tyco International Ltd.,,deepseek/deepseek-v4-flash,2026-07-27,Tyco Healthcare/kendall was part of Tyco International. Parent CIK from the EDGAR roster (exact:listed).
johnson johnson consumer,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,"Johnson & Johnson Consumer, Inc. is a subsidiary of Johnson & Johnson."
wells fargo pvsi,72971,Wells Fargo & Company,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Wells Fargo & Company, a public registrant."
3m precision optics,66740,3M Company,,deepseek/deepseek-v4-flash,2026-07-27,3M subsidiary in optics
alcoa primary metals at massena east,4281,Alcoa Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Alcoa subsidiary in primary metals
ilevel by weyerhaeuser,106535,Weyerhaeuser Company,,deepseek/deepseek-v4-flash,2026-07-27,brand of Weyerhaeuser
hyatt regency hotel,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency hotels are corporate-owned or managed by Hyatt Parent CIK from the EDGAR roster (exact).
it s a laugh productions,1744489,Walt Disney Company,,deepseek/deepseek-v4-flash,2026-07-27,It's a Laugh Productions is a Disney-owned production company Parent CIK from the EDGAR roster (exact:listed).
p f automotive llc dba penske ford,1163302,"Penske Automotive Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"P.F. Automotive is a dealership entity of Penske Automotive Group, a public company."
gmri inc t a bahama breeze,940944,"Darden Restaurants, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"GMRI Inc. operates Bahama Breeze, a chain owned by Darden Restaurants, a public company. Parent CIK from the EDGAR roster (exact)."
hyatt regency houston,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hyatt Regency is a brand owned by Hyatt Hotels Corporation, a public company. Parent CIK from the EDGAR roster (exact)."
hyatt regency irvine,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency Irvine is a hotel owned by Hyatt Hotels Corporation. Parent CIK from the EDGAR roster (exact).
chartwells,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Chartwells is a division of Compass Group Parent CIK from the EDGAR roster (exact).
cheesecake factory bakery,1018840,The Cheesecake Factory Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"The Cheesecake Factory Bakery is a subsidiary of The Cheesecake Factory Inc., a public company."
compass group usa northwestern,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Compass Group USA is a subsidiary of Compass Group PLC, a public company. Parent CIK from the EDGAR roster (exact)."
live nation clubs theaters house of blues anaheim,1335258,Live Nation Entertainment,,deepseek/deepseek-v4-flash,2026-07-27,House of Blues is a venue owned by Live Nation Entertainment
live nation clubs theaters the fillmore san francisco,1335258,"Live Nation Entertainment, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Division of Live Nation, which files with SEC"
under armour nashville distribution house,1336917,"Under Armour, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Under Armour Nashville Distribution House is a distribution center of Under Armour, Inc., a publicly traded company."
assurant specialty property,1267238,"Assurant, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Assurant Specialty Property is a division of Assurant, a public insurance company."
caci technologies,1604464,CACI International Inc,,deepseek/deepseek-v4-flash,2026-07-27,"CACI Technologies is a subsidiary of CACI International, a publicly traded government contractor."
hyatt regency dfw,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency DFW is a hotel likely owned by Hyatt Hotels Corporation
scios inc johnson johnson,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,Scios Inc. was a wholly owned subsidiary of Johnson & Johnson at the time.
associates credit card services,831001,Citigroup Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Associates Credit Card Services was a subsidiary of Citigroup after the 2000 acquisition of Associates First Capital.
bae sys southeast shipyards mayport llc 1936 bailey avenue jacksonville fl 32228,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,BAE Systems Southeast Shipyards Mayport LLC is a subsidiary of BAE Systems. Parent CIK from the EDGAR roster (exact:listed).
dutchmen,730255,"Thor Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Dutchmen is a recreational vehicle brand owned by Thor Industries (public).
georgia pacific corp monroeville,923338,"Koch Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Georgia-Pacific is a subsidiary of Koch Industries (private). Parent CIK from the EDGAR roster (exact).
cbre,1138118,"CBRE Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"CBRE, Inc. is a subsidiary of publicly traded CBRE Group. Parent CIK from the EDGAR roster (exact)."
honeywell technology solutions,773840,Honeywell International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of Honeywell International
tele tech customer care management california,829323,TTEC (TeleTech Holdings),,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of TeleTech Holdings
airtran airways inc hartsfield jackson alt int l airport,92380,Southwest Airlines Co.,,deepseek/deepseek-v4-flash,2026-07-27,"Airtran Airways, Inc. was a subsidiary of Southwest Airlines after acquisition. Parent CIK from the EDGAR roster (exact)."
option one mortgage,12659,"H&R Block, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Option One Mortgage Corp. was a subsidiary of publicly traded H&R Block. Parent CIK from the EDGAR roster (exact).
sbc west consumer markets group call center,732717,SBC Communications Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"SBC West is a division of SBC Communications, a public company. Parent CIK from the EDGAR roster (exact)."
safran cabin bellingham,1364012,Safran SA,,deepseek/deepseek-v4-flash,2026-07-27,"Safran Cabin is a subsidiary of Safran, a French aerospace public company. Parent CIK from the EDGAR roster (exact)."
ltf club management company llc dba life time in la jolla,1869198,"Life Time Group Holdings, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Life Time is a publicly traded health and fitness company; this entity manages its clubs. Parent CIK from the EDGAR roster (exact).
3m electro communications business,66740,3M Company,,deepseek/deepseek-v4-flash,2026-07-27,"3M Electro & Communications Business is a division of 3M Company, which is publicly traded."
corrections corporation of america otter creek correctional facility,1070985,CoreCivic Inc,,deepseek/deepseek-v4-flash,2026-07-27,"Corrections Corporation of America is now CoreCivic, a publicly traded company."
ltf club management company llc life time syosset,1869198,Life Time Group Holdings Inc,,deepseek/deepseek-v4-flash,2026-07-27,"LTF Club Management is a subsidiary of Life Time, a publicly traded fitness company. Parent CIK from the EDGAR roster (exact)."
optum services,731766,UnitedHealth Group Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,Optum Services is a subsidiary of UnitedHealth Group.
rbc capital markets,1000753,Royal Bank of Canada,,deepseek/deepseek-v4-flash,2026-07-27,"RBC Capital Markets is a subsidiary of Royal Bank of Canada, a public company"
ritz carlton south beach,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Ritz-Carlton is a brand of Marriott International, a public company"
daniel freeman marina hospital tenet health system,70318,Tenet Healthcare Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hospital owned by Tenet Healthcare, a public company. Parent CIK from the EDGAR roster (exact)."
marriott global reservations sales customer care,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Marriott International, a public company."
seterus inc a subsidiary of ibm,51143,IBM,,deepseek/deepseek-v4-flash,2026-07-27,"Explicitly stated as a subsidiary of IBM, which is a public company."
indian point energy center ipec owned by entergy nuclear indian point 2 llc entergy nuclear indian point 3 llc entergy nuclear operations inc entergy services,65984,Entergy Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Nuclear power plant owned by Entergy subsidiaries.
marriott crystal gateway,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Crystal Gateway is a Marriott hotel property; Marriott International is a public company.
oscar meyer div kraft heinz food,1637459,The Kraft Heinz Company,,deepseek/deepseek-v4-flash,2026-07-27,"Division of The Kraft Heinz Company, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
ge consumer finance business ctr,40545,General Electric Company,,deepseek/deepseek-v4-flash,2026-07-27,GE Consumer Finance is a division of General Electric.
general dynamics information technology ctrs for medicare medicaid 3030 u s hwy 301 s riverview fl 33578,40533,General Dynamics Corporation,,deepseek/deepseek-v4-flash,2026-07-27,General Dynamics Information Technology is a subsidiary of General Dynamics.
ubs warburg energy,1114446,UBS Group AG,,deepseek/deepseek-v4-flash,2026-07-27,UBS Warburg Energy LLC is a subsidiary of UBS Group AG.
xpo logistics ft worth,1166003,"XPO Logistics, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,XPO Logistics is a publicly traded company; this is one of its facilities.
teleperformanceusa,1406914,Teleperformance SE,,deepseek/deepseek-v4-flash,2026-07-27,"TeleperformanceUSA is a US subsidiary of Teleperformance SE, a French public company. Parent CIK from the EDGAR roster (exact)."
wells fargo home and consumer finance group,72971,Wells Fargo & Company,,deepseek/deepseek-v4-flash,2026-07-27,"Wells Fargo Home and Consumer Finance Group is a division of Wells Fargo & Company, a public company."
boeing electronics,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,"Boeing Electronics is a division or subsidiary of Boeing, a public company."
ritz carlton marriott,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton is a subsidiary of Marriott International. Parent CIK from the EDGAR roster (exact).
sheraton overland park hotel,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Sheraton is a brand of Marriott International. Parent CIK from the EDGAR roster (exact).
at t global customer service,732717,AT&T Inc.,,deepseek/deepseek-v4-flash,2026-07-27,AT&T Global Customer Service is a division of publicly traded AT&T Inc.
armstrong air conditioning a k a allied air enterprises a lennox international,1069202,Lennox International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Armstrong Air is a subsidiary of Lennox International, a public HVAC company Parent CIK from the EDGAR roster (exact)."
cooper lighting solutions vicksburg warren,1551182,Eaton Corporation plc,,deepseek/deepseek-v4-flash,2026-07-27,Cooper Lighting Solutions was a business of Eaton Corporation until 2020. Parent CIK from the EDGAR roster (exact:listed).
cunard line limited 6100 blue lagoon drive suite 400 miami fl 33126,815097,Carnival Corporation & plc,,deepseek/deepseek-v4-flash,2026-07-27,Cunard Line is a subsidiary of Carnival Corporation. Parent CIK from the EDGAR roster (exact:listed).
jpmorgan chase bank 3990 s babcock melbourne fl 32901,19617,JPMorgan Chase & Co.,,deepseek/deepseek-v4-flash,2026-07-27,JPMorgan Chase Bank is a subsidiary of JPMorgan Chase & Co.
northrop grumman corporation aerospace systems,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Northrop Grumman Aerospace Systems is a division of the publicly traded Northrop Grumman Corporation. Parent CIK from the EDGAR roster (exact).
phelps dodge industries d b a freeport mcmoran updated notice,831259,Freeport-McMoRan Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Phelps Dodge Industries d.b.a. Freeport-McMoRan is a subsidiary of Freeport-McMoRan Inc., a public company. Parent CIK from the EDGAR roster (exact)."
daifuku services america,1762831,"Daifuku Co., Ltd.",,deepseek/deepseek-v4-flash,2026-07-27,US subsidiary of Japanese public company Daifuku. Parent CIK from the EDGAR roster (exact:post-era).
northrop grumman technical services inc uscis,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of Northrop Grumman. Parent CIK from the EDGAR roster (exact).
novartis vaccines diagnostics,1114448,Novartis AG,,deepseek/deepseek-v4-flash,2026-07-27,Novartis Vaccines & Diagnostics is a subsidiary of Novartis AG.
depuy orthotech,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,"DePuy OrthoTech is a division of DePuy, a subsidiary of Johnson & Johnson."
permacel a nitto denko,353991,Nitto Denko Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Permacel is a subsidiary of Nitto Denko, a Japanese public company. Parent CIK from the EDGAR roster (listed-extension)."
mcneil consumer,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,McNeil Consumer is a Johnson & Johnson subsidiary.
cvs al distribution,64803,CVS Health Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"CVS AL Distribution LLC is a subsidiary of CVS Health Corporation, a public company."
fedex home delivery,1048911,FedEx Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"FedEx Home Delivery is a division of FedEx Corporation, which is publicly traded."
great indoors,1310067,Sears Holdings Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"The Great Indoors was a retail chain owned by Sears Holdings Corporation, a public company."
hilton reservation worldwide,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Hilton Reservation Worldwide, LLC is a subsidiary of Hilton Worldwide Holdings Inc., a public company."
tyson extension lexington,100493,"Tyson Foods, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Tyson Extension is a division of Tyson Foods, a publicly traded company."
centene management,1071739,Centene Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Centene Management Company is a subsidiary of Centene Corporation, a public company."
bungie inc sony interactive entertainment,313838,Sony Group Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Bungie is a subsidiary of Sony Interactive Entertainment, which is owned by Sony Group Corporation. Parent CIK from the EDGAR roster (exact)."
sony pictures studios,313838,Sony Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Sony, which is SEC registrant Parent CIK from the EDGAR roster (exact)."
sears merchandizing accounting ctr,319256,"Sears, Roebuck and Co.",,deepseek/deepseek-v4-flash,2026-07-27,"Accounting center of Sears, which was publicly traded Parent CIK from the EDGAR roster (fuzzy:0.95)."
fiserv aurora customer operations,790359,"Fiserv, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Fiserv is a publicly traded company; this is a customer operations site.
xerox capital services llc 800 carillon pkwy st petersburg fl 33716,108772,Xerox Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Xerox Capital Services is a subsidiary of Xerox Corporation (public). Parent CIK from the EDGAR roster (exact).
bae systems nas whiting field milton nas pensacola milton pensacola fl 00000,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,"BAE Systems NAS is part of BAE Systems, a public company. Parent CIK from the EDGAR roster (exact:listed)."
cendant travel,723612,Cendant Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Cendant Travel is a division of Cendant Corporation, a public company. Parent CIK from the EDGAR roster (exact)."
hyatt regency mission bay spa and marina,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hyatt Regency is a brand of Hyatt Hotels Corporation, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
intercontinental san diego,858446,InterContinental Hotels Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"InterContinental San Diego is a hotel owned by InterContinental Hotels Group, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
lsg group sky chefs,1049724,Deutsche Lufthansa AG,,deepseek/deepseek-v4-flash,2026-07-27,"LSG Group is a subsidiary of Lufthansa, a publicly traded airline. Parent CIK from the EDGAR roster (listed-extension)."
macy s home store,794367,Macy's Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Home store division of Macy's department store chain Parent CIK from the EDGAR roster (exact).
peabody coal baldwin mine,1064728,Peabody Energy Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Peabody Coal is a subsidiary of public company Peabody Energy
raytheon systems georgia,101829,RTX Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Raytheon Systems is a division of public company RTX
hyatt regency bonaventure 250 racquet club road weston fl 33326,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency Bonaventure is a hotel owned or managed by Hyatt Hotels Corporation. Parent CIK from the EDGAR roster (exact).
shaw industries group inc plant wg,1067983,Berkshire Hathaway Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Shaw Industries is a wholly owned subsidiary of Berkshire Hathaway.
chase home finance default,1325347,JPMorgan Chase & Co.,,deepseek/deepseek-v4-flash,2026-07-27,"Part of JPMorgan Chase & Co., which files with SEC. Parent CIK from the EDGAR roster (exact)."
securitylink tyco fire and security 9512 sunbeam center drive jacksonville fl 32257,833444,Tyco International Ltd,,deepseek/deepseek-v4-flash,2026-07-27,"Securitylink-Tyco Fire And Security is part of Tyco International, a public company."
aes ohio generation llc dayton power light,874761,The AES Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"AES Ohio Generation, LLC is a subsidiary of The AES Corporation, a public company."
convergys customer management group inc pharr,1045942,Convergys Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Convergys Customer Management Group Inc. is a subsidiary of Convergys Corporation, a public company."
correction corporation s california city correctio,1070985,CoreCivic,,deepseek/deepseek-v4-flash,2026-07-27,"Correction Corporation's facility is operated by CoreCivic, a public real estate investment trust."
hsbc consumer lending dept,1089113,HSBC Holdings plc,,deepseek/deepseek-v4-flash,2026-07-27,"HSBC Consumer Lending is a department of HSBC Holdings plc, which files with SEC."
ritz carlton south,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Ritz-Carlton is a subsidiary of Marriott International, which files with SEC."
sony disc manufacturing,313838,Sony Group Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Sony Disc Manufacturing is a division of Sony Group Corporation, which files with SEC."
time,1105705,Time Warner Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Time Inc. was a subsidiary of Time Warner at the time of the layoff.
vistakon 5985 richard street jacksonville fl 32216,200406,Johnson & Johnson,,deepseek/deepseek-v4-flash,2026-07-27,Vistakon is a division of Johnson & Johnson.
zimmer biomet dental,1136869,"Zimmer Biomet Holdings, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Zimmer Biomet Dental is a division of Zimmer Biomet Holdings, a public company."
procter and gamble manufacturing,80424,The Procter & Gamble Company,,deepseek/deepseek-v4-flash,2026-07-27,Manufacturing subsidiary of Procter & Gamble.
sears teleconsumer resource center unit 9542,319256,"Sears, Roebuck and Co.",,deepseek/deepseek-v4-flash,2026-07-27,"Unit of Sears, which was publicly traded at the time Parent CIK from the EDGAR roster (fuzzy:0.95)."
bae systems san diego ship repair sdsr,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of BAE Systems plc, which files with SEC as foreign private issuer. Parent CIK from the EDGAR roster (exact:listed)."
centerplate sodexo,1169715,Sodexo,,deepseek/deepseek-v4-flash,2026-07-27,"Centerplate is a subsidiary of Sodexo, which files with SEC as foreign private issuer. Parent CIK from the EDGAR roster (exact)."
