state,location,notices,workers,reason,kind,census_name,resolved_to,confidence,elsewhere,outcome,gate,note
OH,Columbus (Franklin) and Wheelersburg (Scioto),1,159,3 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Columbus and Wheelersburg
GA,Armuchee,1,158,no matching place,county,Floyd County,Floyd County,0.95,,staged,county-level,Armuchee is an unincorporated community in Floyd County
MA,"Boston, Cambridge, Boston",1,158,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Boston and Cambridge
NY,Middle Village,2,158,no matching place,county,Queens County,Queens County,0.9,"IN,NJ,WI",staged,county-level,"Middle Village is a neighborhood in Queens County, NY"
VA,"Abingdon, Clintwood & Haysi VA",1,158,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places: Abingdon, Clintwood, and Haysi"
VA,Tabb VA,1,158,no matching place,county,York County,York County,0.95,,staged,county-level,Tabb is a census-designated place in York County
MD,"3300 Lord Baltimore Drive Windsor Mill, MD 21244",1,156,no matching place,county,Baltimore County,,0.9,,staged,did not resolve,Windsor Mill is an unincorporated community in Baltimore County
NJ,"Bergen, Burlington, Camden, Cumberland, Essex, Gloucester, Hudson, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Somerset, and Union Counties",1,155,7 distinct places named,multiple,,,0.99,,staged,multiple,Multiple counties listed
MO,North Kansas CityLiberty,1,154,no matching place,multiple,,,0.95,,staged,multiple,Likely two distinct cities: North Kansas City and Liberty
NY,East Vestal,1,154,no matching place,county,Broome County,Broome County,0.8,,staged,county-level,East Vestal is a hamlet within Broome County
WA,Bothell/Everett,1,154,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places: Bothell and Everett
WA,"Seattle, Bellevue, Everett, Federal Way, Kennewick",1,154,5 distinct places named,multiple,,,1.0,,staged,multiple,"Five distinct places: Seattle, Bellevue, Everett, Federal Way, Kennewick"
MD,"1350 Brass Mill Road Belcamp, MD 21017",1,152,no matching place,place,Belcamp,,0.95,,staged,did not resolve,"Address with Belcamp, MD 21017"
MI,"Southfield, Michigan; Kalamazoo, Michigan; and Center Line, Michigan",1,151,2 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct places: Southfield, Kalamazoo, Center Line"
CA,WARNER SPRINGS,1,150,no matching place,place,Warner Springs,,1.0,,staged,did not resolve,CDP in San Diego County
IN,"Valparaiso, Mishawaka and Indianapolis",1,150,3 distinct places named,multiple,,,1.0,,staged,multiple,"Three places: Valparaiso, Mishawaka, Indianapolis"
VA,Arlingotn VA,2,150,no matching place,county,Arlington County,Arlington County,0.95,,staged,county-level,"Misspelling of Arlington, a county in VA"
AK,"Anchorage, Fairbanks, Denali National Park and Healy",1,149,2 distinct places named,multiple,,,1.0,,staged,multiple,"Multiple: Anchorage, Fairbanks, Denali National Park, Healy"
AK,"Soldotna, Homer & Seward",1,149,3 distinct places named,multiple,,,1.0,,staged,multiple,"Three places: Soldotna, Homer, Seward"
VA,Alexandria & Arlington VA,1,149,2 distinct places named,multiple,,,1.0,,staged,multiple,Two places: Alexandria and Arlington in VA
VA,"Alexandria, Arlington, Falls Church, Sterling, Vienna & Woodbridge VA",1,148,6 distinct places named,multiple,"Alexandria, Arlington, Falls Church, Sterling, Vienna, Woodbridge",,0.99,,staged,multiple,six distinct places
WA,Usk,1,148,no matching place,place,Usk,,0.95,,staged,did not resolve,census-designated place in Washington
CA,BASSETT,1,147,no matching place,place,Bassett,,0.9,,staged,did not resolve,census-designated place in California
NY,Mount Tremper,1,147,no matching place,place,Mount Tremper,,0.85,,staged,did not resolve,census-designated place in New York
TN,Claiborne and Greene County,1,147,no matching place,multiple,"Claiborne County, Greene County",,0.99,,staged,multiple,two counties
WA,"Wenatchee, Spokane, Sunnyside",1,147,2 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct places: Wenatchee, Spokane, Sunnyside"
WI,"Greenfield, Brookfield, Grand Chute, Madison, Ashwaubenon, Eau Claire",1,147,4 distinct places named,multiple,,,1.0,,staged,multiple,"Six distinct places: Greenfield, Brookfield, Grand Chute, Madison, Ashwaubenon, Eau Claire"
FL,Lake Worth,2,146,no matching place,place,Lake Worth,,0.95,,staged,did not resolve,City in Florida
NJ,HAMILTON TOWNSHIP,1,146,no matching place,place,Hamilton Township,,0.8,,staged,did not resolve,Possibly one of several Hamilton Townships in NJ
FL,ISLAMORADA,1,145,no matching place,place,Islamorada,,0.95,,staged,did not resolve,Village in Florida
MD,"NSA 9800 Savage Road Fort George G Meade, MD 20755",1,145,no matching place,county,Anne Arundel County,Anne Arundel County,0.95,,staged,county-level,Fort Meade is an unincorporated community in Anne Arundel County
WA,"Seattle, Woodinville",1,145,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places: Seattle and Woodinville
GA,St Mountain,1,144,no matching place,place,Stone Mountain,,0.7,,staged,below threshold 0.8,"likely abbreviation for Stone Mountain, GA"
CO,"Denver, Broomfield",3,142,2 distinct places named,multiple,"Denver, Broomfield",,0.99,,staged,multiple,two distinct cities
WA,"Lynnwood, Marysville, Pasco, Puyallup, Spokane Valley",1,142,5 distinct places named,multiple,"Lynnwood, Marysville, Pasco, Puyallup, Spokane Valley",,0.99,,staged,multiple,five distinct cities
WI,"Janesville, Milton",1,142,2 distinct places named,multiple,"Janesville, Milton",,0.99,,staged,multiple,two distinct cities
AL,Tanner,1,140,no matching place,place,Tanner,,0.9,,staged,did not resolve,"Tanner, AL is a CDP"
IN,Anderson & Indianapolis,1,140,2 distinct places named,multiple,,,1.0,,staged,multiple,"Anderson and Indianapolis, two distinct places"
IN,Lake Counties,1,140,no matching place,county,Lake County,Lake County,0.9,,staged,county-level,"Likely refers to Lake County, IN despite plural wording"
OR,"Portland, Tigard",1,140,2 distinct places named,multiple,,,1.0,,staged,multiple,"Portland and Tigard, two distinct places"
WI,"Altoona, Eau Claire, Augusta",1,140,2 distinct places named,multiple,,,1.0,,staged,multiple,"Altoona, Eau Claire, Augusta - three distinct places"
WI,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",1,140,26 distinct places named,multiple,,,1.0,,staged,multiple,26 distinct places listed
WI,"Milwaukee, Pewaukee, and Waukesha",1,140,2 distinct places named,multiple,,,1.0,,staged,multiple,"Milwaukee, Pewaukee, Waukesha - three distinct places"
LA,"414 Pine St, Monroe, LA 4673 Eugene Ware Blvd, Bastrop, LA",1,139,2 distinct places named,multiple,,,1.0,,staged,multiple,Monroe and Bastrop
OH,Cleveland(Cuyahoga) Cincinnati (Hamilton),1,139,3 distinct places named,multiple,,,1.0,,staged,multiple,Cleveland and Cincinnati
WI,"Brookfield, Madison, Monroe, New Glarus, & Oconomowoc",1,139,4 distinct places named,multiple,,,1.0,,staged,multiple,"Brookfield, Madison, Monroe, New Glarus, Oconomowoc"
MI,"Zeeland, Michigan and Traverse City, Michigan",1,138,2 distinct places named,multiple,,,1.0,,staged,multiple,Zeeland and Traverse City
OR,PORTLAND & GRESHAM,1,138,2 distinct places named,multiple,,,1.0,,staged,multiple,Portland and Gresham
CA,EDWARDS,2,137,no matching place,county,Kern County,Kern County,0.9,"CO,MI,MN,MS,NY",staged,county-level,Edwards Air Force Base is an unincorporated area in Kern County
MD,"8601 Adelphi Rd, College Park, MD 20740; and 700 Pennsylvania Ave, Washington, D.C. 20408",1,137,"address is in DC, not MD",multiple,,,0.99,,staged,multiple,"College Park, MD and Washington, DC"
WI,"Middleton, DeForest",1,136,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Middleton and DeForest
CA,VERNALIS,1,135,no matching place,county,San Joaquin County,San Joaquin County,0.9,,staged,county-level,Vernalis is an unincorporated community in San Joaquin County
CA,PASO ROBLES,3,134,no matching place,place,Paso Robles,,0.99,,staged,did not resolve,Paso Robles is a city in California
CO,Denver & Arapahoe/Douglas,1,134,2 distinct places named,multiple,,,0.95,,staged,multiple,Denver city and Arapahoe/Douglas counties
MI,"Grand Rapids, Michigan and Kentwood, Michigan",1,134,2 distinct places named,multiple,,,0.99,,staged,multiple,"Grand Rapids and Kentwood, both in Michigan"
VA,Crozrt VA,1,134,no matching place,place,Crozet,,0.7,,staged,below threshold 0.8,Typo for Crozet
VA,Faiffax VA,1,134,no matching place,place,Fairfax,,0.7,,staged,below threshold 0.8,Typo for Fairfax
VA,"Norfolk, Chesapeake & Newport News VA",1,134,3 distinct places named,multiple,,,0.99,,staged,multiple,"Norfolk, Chesapeake, and Newport News"
CO,"Multiple: A/D, Pikes Peak, Jeffco",1,133,no matching place,multiple,,,0.95,,staged,multiple,"Multiple administrative areas: Arapahoe/Douglas, Pikes Peak region, Jefferson County"
WI,Miwaukee,1,133,no matching place,place,Milwaukee,,0.7,,staged,below threshold 0.8,Typo 'Miwaukee' for Milwaukee
MN,Burnseville,1,132,no matching place,place,Burnsville,,0.7,,staged,below threshold 0.8,Typo 'Burnseville' for Burnsville
VA,Dumfries & Fairfax VA,1,132,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct sites: Dumfries and Fairfax
CA,MONTROSE,3,131,no matching place,place,Montrose,,0.95,,staged,did not resolve,CDP in California
WI,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",1,131,6 distinct places named,multiple,,,0.99,,staged,multiple,7 distinct places
GA,Ft. Gordon,2,130,no matching place,county,Columbia County,Columbia County,0.9,,staged,county-level,"military base, not a city"
MD,"4801 Hollins Ferry Road Halethorpe, MD 21227",1,130,no matching place,county,Baltimore County,,0.8,,staged,did not resolve,"Address in Halethorpe, an unincorporated community within Baltimore County"
NJ,Ft. Monmouth,1,130,no matching place,county,Monmouth County,Monmouth County,0.95,,staged,county-level,Fort Monmouth is a military base in Monmouth County
NY,Bayside,3,130,no matching place,county,Queens County,Queens County,0.9,"TX,VA,WI",staged,county-level,Bayside is a neighborhood within Queens County (New York City)
NY,West Harrison,1,130,no matching place,county,Westchester County,Westchester County,0.9,IN,staged,county-level,West Harrison is a hamlet/cdp in Westchester County
OH,Avon Lake and Elyria (Lorain),1,130,2 distinct places named,multiple,,,1.0,,staged,multiple,Avon Lake and Elyria
OH,"Cleveland, Parma, North Olmstead",1,130,2 distinct places named,multiple,,,1.0,,staged,multiple,"Cleveland, Parma, North Olmstead"
OH,Jefferson (Ashtabula),1,130,2 distinct places named,multiple,,,1.0,,staged,multiple,Jefferson and Ashtabula
OH,Miamisburg & Dayton(Montgomery and Greene),1,130,3 distinct places named,multiple,,,1.0,,staged,multiple,"Miamisburg, Dayton, Montgomery, Greene"
VA,Fort Eustis & Fort Story VA,1,130,no matching place,multiple,,,1.0,,staged,multiple,Fort Eustis and Fort Story
NJ,Blue Anchor,1,128,no matching place,county,Camden County,Camden County,0.85,,staged,county-level,"Blue Anchor is an unincorporated community in Camden County, NJ"
VA,North Chesterfield VA,3,128,no matching place,county,Chesterfield County,Chesterfield County,0.9,,staged,county-level,"North Chesterfield is a CDP in Chesterfield County, VA"
WI,"Rothschild, Monona",1,128,2 distinct places named,multiple,"Rothschild, Monona",,0.99,,staged,multiple,Two distinct places in WI
FL,LAKE WORTH,7,127,no matching place,place,Lake Worth,,0.98,,staged,did not resolve,City in FL
NC,Battleboro,1,127,no matching place,place,Battleboro,,0.98,,staged,did not resolve,Town in NC
VA,Kinsale VA,2,127,no matching place,county,Westmoreland County,Westmoreland County,0.9,,staged,county-level,"Kinsale is an unincorporated community in Westmoreland County, VA"
FL,MAYPORT,2,126,no matching place,place,Mayport,,0.95,,staged,did not resolve,Mayport is a CDP in Florida
IN,Warsaw and Fort Wayne,1,126,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Warsaw and Fort Wayne
MI,Harbor Springs/Boyne City,1,126,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Harbor Springs and Boyne City
GA,Bremen/waco,1,125,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Bremen and Waco
IN,"Highland, Merrillville, Lafayette, Avon, Carmel, Fishers, Greenwood, Terre Haute, Bloomington, Clarksville, New Albany, Evansville and Indianapolis",1,125,13 distinct places named,multiple,,,0.99,,staged,multiple,13 distinct places in Indiana
WA,"Auburn, Arlington, Benton City, Spokane",1,125,4 distinct places named,multiple,,,0.99,,staged,multiple,"Four distinct places: Auburn, Arlington, Benton City, Spokane"
MI,"Canton, Michigan",2,124,no matching place,place,Canton,,0.95,,staged,did not resolve,Canton is a township in Michigan
IN,"Anderson, Auburn, Bloomington, Columbus, Elkhart, Evansville, Fort Wayne, Gary, Hammond, Indianapolis, Kokomo, Lafayette, Madison, Marion, Merrillville, Michigan City, Muncie, Richmond, South Bend, Terre Haute, Valparaiso, and Vincennes",1,123,22 distinct places named,multiple,,,1.0,,staged,multiple,List of 22 distinct cities.
WA,"Mountlake Terrace, Fife",1,123,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct cities: Mountlake Terrace and Fife.
WI,"Appleton, La Crosse, Wauwatosa",1,123,2 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct cities: Appleton, La Crosse, Wauwatosa."
CA,CHINA LAKE,3,122,no matching place,county,Kern County,Kern County,0.95,,staged,county-level,"China Lake is a military base in Kern County, CA."
NJ,Peapack,1,122,no matching place,place,Peapack,,0.95,,staged,did not resolve,"Peapack is a borough in Somerset County, NJ."
NY,"Corfu, West Henrietta, Victor",1,122,2 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct locations: Corfu, West Henrietta, Victor."
SC,Fort Jackson,2,122,no matching place,county,Richland County,Richland County,0.95,,staged,county-level,"Fort Jackson is a military base in Richland County, SC."
CO,"Denver, Boulder",1,121,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities
MI,"Cadillac, Michigan and Novi, Michigan",1,121,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities
WA,"Lynnwood, Vancouver",1,121,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct cities
OR,SOUTH AND NORTH SALEM,1,120,no matching place,multiple,,,0.95,,staged,multiple,Two neighborhoods: South Salem and North Salem
PA,Lehigh and Bucks,1,120,no matching place,multiple,,,0.99,,staged,multiple,Two counties: Lehigh and Bucks
WA,Redmond & Kent,1,120,2 distinct places named,multiple,,,0.99,,staged,multiple,Two cities: Redmond and Kent
WA,"SeaTac, Tukwila",1,120,2 distinct places named,multiple,,,0.99,,staged,multiple,Two cities: SeaTac and Tukwila
CA,Carlotta,1,119,no matching place,county,Humboldt County,Humboldt County,0.95,,staged,county-level,Unincorporated community in Humboldt County
IN,Indianapolis & Plainfield,1,119,2 distinct places named,multiple,,,0.99,,staged,multiple,Two cities: Indianapolis and Plainfield
VA,Tyson's Corner VA,1,119,no matching place,county,Fairfax County,,0.95,,staged,did not resolve,Tyson's Corner is an unincorporated community in Fairfax County
WA,"Des Moines, Auburn, Puyallup",1,119,3 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places in WA
CA,Korbel,2,118,no matching place,county,Humboldt County,Humboldt County,0.8,,staged,county-level,Korbel is an unincorporated community in Humboldt County
MA,East Taunton,2,118,no matching place,county,Bristol County,,0.7,,staged,below threshold 0.8,"East Taunton is a neighborhood within Taunton, MA, but not an incorporated place"
MD,"3901 Vero Road Halethorpe, MD 21227",1,118,no matching place,county,Baltimore County,,0.95,,staged,did not resolve,"Address in Halethorpe, a CDP in Baltimore County"
WI,"Athens, Plover",1,118,2 distinct places named,multiple,"Athens, Plover",,0.98,,staged,multiple,two distinct places in WI
CA,Hemet & Temecula,1,117,2 distinct places named,multiple,Hemet & Temecula,,0.98,,staged,multiple,two distinct places in CA
GA,Sargent,1,117,no matching place,place,Sargent,,0.8,,staged,did not resolve,CDP in Georgia
NJ,Hamilton Township,2,117,no matching place,place,Hamilton Township,,0.6,,staged,did not resolve,"multiple townships in NJ, ambiguous"
VA,"Arlington, Alexandria & Reston VA",1,117,3 distinct places named,multiple,"Arlington, Alexandria & Reston VA",,0.98,,staged,multiple,three distinct sites in VA
NY,Pocantico Hills,1,116,no matching place,county,Westchester County,Westchester County,0.85,,staged,county-level,"unincorporated community in Westchester County, NY"
VA,Midlothian & Glen Allen VA,1,116,2 distinct places named,multiple,Midlothian & Glen Allen VA,,0.98,,staged,multiple,two distinct CDPs in VA
MT,Lewis & Clark,2,115,no matching place,county,Lewis and Clark County,Lewis and Clark County,0.99,"CO,IA,IN,KS,MN,ND,NE,NY,OH,PA,WI",staged,county-level,"Refers to Lewis and Clark County, Montana"
OH,Parma/Cuyahoga and Cleveland Heights/Cuyahoga,1,115,2 distinct places named,multiple,,,0.99,,staged,multiple,"Two places: Parma and Cleveland Heights, both in Cuyahoga County"
OH,Wellston (Jackson) Hamden (Vinton)and Gallipolis (Gallia),1,115,4 distinct places named,multiple,,,0.99,,staged,multiple,"Multiple places: Wellston, Hamden, and Gallipolis"
WA,Seattle-Tacoma,1,115,no matching place,multiple,,,0.95,,staged,multiple,Seattle and Tacoma are two distinct cities
LA,"Ft. Polk U.S. Army Base Bldg 1560 – Alabama Ave Ft. Polk, LA 71459",1,114,no matching place,county,Vernon Parish,Vernon Parish,0.95,,staged,county-level,Military base; located in Vernon Parish (LA equivalent of county)
MI,Remus,1,114,no matching place,place,Remus,,0.9,,staged,did not resolve,"Village in Mecosta County, Michigan"
MI,"Remus, Michigan",1,114,no matching place,place,Remus,,0.95,,staged,did not resolve,"Village in Mecosta County, Michigan"
MI,"Shelby Township, Michigan and Caledonia, Michigan",1,114,2 distinct places named,multiple,,,0.98,,staged,multiple,"Two distinct places: Shelby Township and Caledonia, both in Michigan"
OH,Columbus (Franklin) and Pataskala (Licking),1,114,3 distinct places named,multiple,,,0.98,,staged,multiple,Two distinct places: Columbus (Franklin) and Pataskala (Licking)
SC,Columbia/Irmo/West Columbia,1,114,3 distinct places named,multiple,,,0.98,,staged,multiple,"Three distinct places: Columbia, Irmo, West Columbia"
CO,Multiple: Denver and Pikes Peak,1,113,no matching place,multiple,,,0.9,,staged,multiple,"Denver is a city; Pikes Peak is a mountain, treated as distinct site"
CT,"Colchester,Milford,Northford,Ridgefield,Tolland, Monroe,Norwaik, oldsaybrook",1,113,4 distinct places named,multiple,,,0.95,,staged,multiple,Multiple places in Connecticut; includes likely misspellings
IN,Evansville and Mount Vernon,1,113,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Evansville and Mount Vernon
MI,Commerce Twp.,1,113,no matching place,place,Commerce Township,,0.95,,staged,did not resolve,Township in Michigan
OH,Columbus (Franklin) Cincinnati (Hamilton) Various (Various),1,113,4 distinct places named,multiple,,,0.99,,staged,multiple,"Multiple places: Columbus, Cincinnati, and Various"
AL,Fort McClellan,1,112,no matching place,county,Calhoun County,Calhoun County,0.97,,staged,county-level,Fort McClellan is a military base in Calhoun County
IN,"Edwardsport, Freelandville, Oaktown, Petersburg",1,112,4 distinct places named,multiple,,,0.99,,staged,multiple,"Four distinct places: Edwardsport, Freelandville, Oaktown, Petersburg"
OH,Moraine & Kettering (Montgomery),1,112,2 distinct places named,multiple,,,0.99,,staged,multiple,"Moraine and Kettering, both in Montgomery County, OH"
IN,"Anderson, Evansville, Indianapolis, Kokomo, Salem",1,111,5 distinct places named,multiple,,,0.99,,staged,multiple,Five distinct Indiana cities
MO,"Maryland Heights, Bridgeton",1,111,2 distinct places named,multiple,,,0.99,,staged,multiple,"Maryland Heights and Bridgeton, both in MO"
MO,Maryland HeightsBridgeton,1,111,no matching place,multiple,,,0.8,,staged,multiple,"Likely refers to Maryland Heights and Bridgeton, MO"
SC,Surfside,1,111,no matching place,place,Surfside Beach,,0.7,,staged,below threshold 0.8,"Likely Surfside Beach, SC"
WA,Renton and Sumner,1,111,2 distinct places named,multiple,,,0.99,,staged,multiple,"Renton and Sumner, both in WA"
WA,Tacoma/Shelton,1,111,2 distinct places named,multiple,,,0.99,,staged,multiple,"Tacoma and Shelton, both in WA"
MD,"7565 Harmans Road, Hanover, MD",1,110,no matching place,place,Hanover,,0.95,,staged,did not resolve,"address in Hanover, MD"
WI,Albany & Orfordville,1,110,2 distinct places named,multiple,,,0.95,,staged,multiple,two distinct places: Albany and Orfordville
WA,"Seattle, Tacoma",2,109,2 distinct places named,multiple,,,1.0,,staged,multiple,two distinct places: Seattle and Tacoma
LA,"Plaquemine, New Orleans, and Hackberry, LA",1,108,3 distinct places named,multiple,,,1.0,,staged,multiple,"three distinct places: Plaquemine, New Orleans, Hackberry"
MD,"5001 Washington Blvd. Relay, MD 21227",1,108,no matching place,county,Baltimore County,,0.95,,staged,did not resolve,Relay is an unincorporated community in Baltimore County
NJ,"Lawrence, Princeton, Berkeley Heights, Pennington, New Brunswick",1,108,3 distinct places named,multiple,,,1.0,,staged,multiple,Lists at least three distinct municipalities in New Jersey
IN,Mishawaka & New Carlisle,1,107,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct places: Mishawaka and New Carlisle
NJ,"Burlington, Gloucester, Middlesex, Monmouth",1,107,3 distinct places named,multiple,,,1.0,,staged,multiple,Lists four New Jersey counties
CA,EDWARDS AIR FORCE BA,10,106,no matching place,county,Kern County,Kern County,0.8,,staged,county-level,"Edwards Air Force Base, a military base not in an incorporated city; located in Kern County"
MD,"7200 Standard Drive, Hanover, MD",1,106,no matching place,county,Anne Arundel County,Anne Arundel County,0.9,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,Hanover is a CDP in Anne Arundel County
MI,Brownstown,1,106,no matching place,place,Brownstown Township,,0.9,,staged,did not resolve,"Brownstown Township, a charter township in Wayne County"
MI,"Brownstown, Michigan",1,106,no matching place,place,Brownstown,,0.8,,staged,did not resolve,"Charter township in Wayne County, Michigan"
WA,"Battleground, Camas, Vancouver",1,106,3 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct cities in Washington: Battleground, Camas, Vancouver"
WA,Seattle and Liberty Lake,1,106,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct cities in Washington: Seattle and Liberty Lake
WA,"Seattle, Kirkland",1,106,2 distinct places named,multiple,,,1.0,,staged,multiple,Two distinct cities in Washington: Seattle and Kirkland
GA,"1033 South Reynolds Street, Metcalfe, Georgia",1,105,no matching place,place,Metcalfe,,0.95,,staged,did not resolve,"Town in Thomas County, Georgia"
KY,"Bullitt, Jefferson",1,105,no matching place,multiple,,,1.0,,staged,multiple,Two counties in Kentucky: Bullitt County and Jefferson County
MD,"Patuxent River NAS 47758 Ranch Road, Building 1492, Patuxent River, MD 20670",1,105,no matching place,county,St. Mary's County,St. Mary's County,0.95,,staged,county-level,"Naval air station in St. Mary's County, Maryland"
NJ,Monroe Twp.,1,105,no matching place,place,Monroe Township,,0.7,,staged,did not resolve,"Ambiguous township in New Jersey, multiple counties possible"
NY,"East Little Falls,Canastota, Little Falls",1,105,2 distinct places named,multiple,,,1.0,,staged,multiple,"Three distinct places in New York: East Little Falls, Canastota, Little Falls"
VA,Skippers VA,1,105,no matching place,county,Greensville County,Greensville County,0.85,,staged,county-level,"Unincorporated community in Greensville County, Virginia"
VA,"Williamsburg & Virginia Beach, VA 23462 VA",1,104,2 distinct places named,multiple,,,0.99,,staged,multiple,Two places: Williamsburg and Virginia Beach
FL,SANDESTIN,2,103,no matching place,county,Walton County,Walton County,0.9,,staged,county-level,Unincorporated community in Walton County
ID,Mt. Home AFB,1,103,no matching place,county,Elmore County,Elmore County,0.95,,staged,county-level,Mountain Home AFB is in Elmore County
MD,"9060 Crisfield Highway, Westover, MD",1,103,no matching place,county,Somerset County,Somerset County,0.85,"AL,PA,WV",staged,county-level,Westover is a CDP in Somerset County
NJ,Deepwater,1,103,no matching place,county,Salem County,Salem County,0.95,"MO,ND,WV",staged,county-level,Deepwater is an unincorporated community in Salem County
TN,"Hamilton, Knox, Sevier, Williamson County",1,103,no matching place,multiple,,,0.99,,staged,multiple,"Four counties listed: Hamilton, Knox, Sevier, Williamson"
VA,Centreville & Fairfax VA,1,103,2 distinct places named,multiple,,,0.99,,staged,multiple,Two places: Centreville and Fairfax
WI,"Chippewa Falls, Cornell",1,103,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Chippewa Falls and Cornell
AK,Mat-Su,1,102,no matching place,county,Matanuska-Susitna Borough,Matanuska-Susitna Borough,0.9,,staged,county-level,Abbreviation for Matanuska-Susitna Borough
AZ,Ft. Huachuca,1,102,no matching place,county,Cochise County,Cochise County,0.8,,staged,county-level,Fort Huachuca is a military base in Cochise County
CA,Helm,1,102,no matching place,county,Fresno County,Fresno County,0.9,,staged,county-level,Helm is an unincorporated community in Fresno County
KY,Boone/Kenton,1,102,no matching place,multiple,,,0.99,,staged,multiple,Two counties: Boone and Kenton
VA,Potomac Falls VA,1,102,no matching place,county,Loudoun County,Loudoun County,0.85,,staged,county-level,Potomac Falls is a CDP in Loudoun County
WI,"Brookfield, Fox Point",1,102,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Brookfield and Fox Point
AK,Fort Wainwright and Joint Base Elmendorf-Richardson (JBER),1,101,no matching place,multiple,,,0.9,,staged,multiple,Two military bases in Alaska
GA,Preston,1,101,no matching place,place,Preston,,0.9,,staged,did not resolve,"Town in Webster County, GA"
MA,Braintree & Quincy,1,101,2 distinct places named,multiple,,,0.99,,staged,multiple,Two cities: Braintree and Quincy
MD,"7441 Candlewood Road Hanover, MD 21076",1,101,no matching place,place,Hanover,,0.95,,staged,did not resolve,Address in Hanover CDP
NJ,MILFORD/BLOOMSBURY,1,101,2 distinct places named,multiple,,,0.99,,staged,multiple,Two boroughs: Milford and Bloomsbury
AK,"Anchorage, Eagle River, Wasilla & Soldotna",1,100,2 distinct places named,multiple,,,1.0,,staged,multiple,"Anchorage, Eagle River, Wasilla, Soldotna"
CA,Branscomb,1,100,no matching place,county,Mendocino County,Mendocino County,0.8,,staged,county-level,Branscomb is an unincorporated community in Mendocino County
CA,Long Beach (Carson),1,100,2 distinct places named,multiple,,,0.99,,staged,multiple,Long Beach and Carson
IL,"multiple locations multiple, IL 60606",1,100,no matching place,multiple,,,0.8,,staged,multiple,Indicates multiple locations
IN,"Indianapolis, Martinsville, Petersburg",1,100,3 distinct places named,multiple,,,0.95,,staged,multiple,Three distinct places listed
IN,Pimento,2,100,no matching place,county,Vigo County,Vigo County,0.85,,staged,county-level,Unincorporated community in Vigo County
PA,Lancaster & Lebanon,1,100,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Lancaster and Lebanon
WA,"Seattle, Tacoma, Lakewood, Auburn, Bellevue, Burien, Federal Way, Kent, Puyallup",1,100,9 distinct places named,multiple,,,0.99,,staged,multiple,Nine distinct places listed
VA,"Fairfax, Arlington, Bailey's Crossroad, Manassas, Prince William, Reston, Herndon & Springfield VA",1,99,6 distinct places named,multiple,,,0.99,,staged,multiple,Multiple places including counties and CDPs
CO,Rural Consortium (Alamosa) & Denver,1,98,2 distinct places named,multiple,,,0.99,,staged,multiple,"Alamosa and Denver, two distinct places"
VA,"Glen Allen, Chester, Henrico VA",1,98,2 distinct places named,multiple,,,0.95,,staged,multiple,"Glen Allen, Chester, and Henrico County are distinct"
NY,Annandale on Hudson,1,97,no matching place,county,Dutchess County,,0.7,,staged,below threshold 0.8,Annandale on Hudson is a hamlet in Dutchess County
UT,Ivans,1,97,no matching place,place,Ivins,,0.6,,staged,below threshold 0.8,"Ivans is likely a misspelling of Ivins, UT"
